NU_ANO_CENSO,CO_IES,CO_CURSO,QT_ING,QT_ING_VESTIBULAR,QT_ING_ENEM,QT_ING_AVALIACAO_SERIADA,QT_ING_SELECAO_SIMPLIFICA,QT_ING_OUTRO_TIPO_SELECAO,QT_ING_PROC_SELETIVO,QT_ING_VG_REMANESC,QT_ING_VG_PROG_ESPECIAL,QT_ING_OUTRA_FORMA,QT_ING_0_17,QT_ING_18_24,QT_ING_25_29,QT_ING_30_34,QT_ING_35_39,QT_ING_40_49,QT_ING_50_59,QT_ING_PROCESCPUBLICA,QT_ING_PROCESCPRIVADA,QT_ING_PROCNAOINFORMADA,NO_IES,SG_IES
2010,555,40071,93.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,58.0,22.0,6.0,4.0,2.0,0.0,0.0,0.0,93.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2010,1772,117020,80.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,41.0,23.0,12.0,2.0,2.0,0.0,0.0,0.0,80.0,FACULDADE NORDESTE,FANOR
2011,555,40071,130.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,101.0,22.0,5.0,2.0,0.0,0.0,17.0,61.0,52.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2011,1772,117020,124.0,67.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,71.0,25.0,15.0,9.0,4.0,0.0,0.0,0.0,124.0,FACULDADE NORDESTE,FANOR
2012,555,40071,162.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,3.0,125.0,21.0,5.0,7.0,1.0,0.0,10.0,80.0,72.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2012,1772,117020,323.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1.0,215.0,60.0,28.0,13.0,4.0,1.0,0.0,0.0,323.0,FACULDADE NORDESTE,FANOR
2013,555,40071,233.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,12.0,188.0,20.0,11.0,0.0,0.0,1.0,31.0,202.0,0.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2013,1556,1165804,93.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,72.0,9.0,5.0,1.0,1.0,0.0,1.0,92.0,0.0,FACULDADE SETE DE SETEMBRO,FA7
2013,1772,117020,257.0,235.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,183.0,44.0,21.0,4.0,2.0,0.0,256.0,0.0,1.0,FACULDADE NORDESTE,FANOR
2013,1819,1186217,26.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,9.0,5.0,0.0,1.0,0.0,11.0,15.0,0.0,FACULDADE FARIAS BRITO,FFB
2013,1895,1158593,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS
2013,2240,1162232,149.0,146.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,44.0,23.0,9.0,7.0,3.0,149.0,0.0,0.0,FACULDADE DE FORTALEZA,FAFOR
2014,555,40071,253.0,185.0,1.0,0.0,3.0,0.0,0.0,59.0,0.0,5.0,12.0,202.0,19.0,12.0,4.0,4.0,0.0,39.0,214.0,0.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2014,1556,1165804,86.0,69.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,56.0,15.0,10.0,5.0,0.0,0.0,28.0,58.0,0.0,FACULDADE SETE DE SETEMBRO,FA7
2014,1772,117020,324.0,212.0,57.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,5.0,224.0,57.0,21.0,11.0,5.0,1.0,205.0,116.0,3.0,FACULDADE NORDESTE,FANOR
2014,1819,1186217,192.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,111.0,40.0,27.0,10.0,2.0,0.0,89.0,103.0,0.0,FACULDADE FARIAS BRITO,FFB
2014,1895,1158593,50.0,49.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,0.0,0.0,13.0,37.0,0.0,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS
2014,2240,1162232,101.0,88.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,22.0,19.0,10.0,7.0,1.0,77.0,24.0,0.0,FACULDADE DE FORTALEZA,FAFOR
2015,555,40071,174.0,108.0,6.0,0.0,18.0,0.0,0.0,42.0,0.0,0.0,4.0,140.0,17.0,8.0,2.0,2.0,1.0,24.0,150.0,0.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2015,1107,1315087,223.0,204.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.0,135.0,37.0,31.0,11.0,5.0,1.0,69.0,154.0,0.0,Centro Universitário Estácio do Ceará,Estácio FIC
2015,1556,1165804,108.0,87.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,74.0,16.0,12.0,2.0,1.0,0.0,39.0,69.0,0.0,FACULDADE SETE DE SETEMBRO,FA7
2015,1772,117020,183.0,96.0,60.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,2.0,133.0,25.0,11.0,10.0,2.0,0.0,111.0,72.0,0.0,FACULDADE NORDESTE,FANOR
2015,1819,1186217,111.0,100.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,63.0,19.0,18.0,8.0,2.0,0.0,71.0,40.0,0.0,FACULDADE FARIAS BRITO,FFB
2015,1895,1158593,38.0,36.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,2.0,0.0,1.0,0.0,0.0,12.0,26.0,0.0,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS
2015,2240,1162232,83.0,69.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,17.0,20.0,10.0,5.0,1.0,58.0,25.0,0.0,FACULDADE DE FORTALEZA,FAFOR
2016,555,40071,152.0,89.0,31.0,0.0,4.0,0.0,0.0,28.0,0.0,0.0,9.0,120.0,10.0,10.0,2.0,1.0,0.0,23.0,129.0,0.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2016,1107,1315087,182.0,128.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,84.0,40.0,34.0,17.0,7.0,0.0,67.0,115.0,0.0,Centro Universitário Estácio do Ceará,Estácio FIC
2016,1556,1165804,55.0,21.0,31.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,47.0,7.0,1.0,0.0,0.0,0.0,26.0,29.0,0.0,FACULDADE SETE DE SETEMBRO,FA7
2016,1772,117020,90.0,19.0,52.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,2.0,69.0,11.0,3.0,1.0,2.0,2.0,78.0,12.0,0.0,FACULDADE NORDESTE,FANOR
2016,1772,1283689,59.0,13.0,40.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,40.0,12.0,3.0,3.0,0.0,0.0,54.0,5.0,0.0,FACULDADE NORDESTE,FANOR
2016,1819,1186217,34.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,3.0,0.0,0.0,1.0,19.0,15.0,0.0,FACULDADE FARIAS BRITO,FFB
2016,1895,1158593,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,CENTRO UNIVERSITÁRIO CHRISTUS,UNICHRISTUS
2016,1978,1205566,25.0,22.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,7.0,5.0,3.0,1.0,0.0,15.0,10.0,0.0,FACULDADE METROPOLITANA DA GRANDE FORTALEZA,FAMETRO
2016,2240,1162232,13.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,13.0,0.0,0.0,FACULDADE DE FORTALEZA,FAFOR
2017,555,40071,163.0,67.0,49.0,0.0,2.0,0.0,0.0,45.0,0.0,0.0,2.0,131.0,18.0,5.0,5.0,1.0,1.0,43.0,120.0,0.0,UNIVERSIDADE DE FORTALEZA,UNIFOR
2017,1107,1315087,117.0,75.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,57.0,24.0,19.0,12.0,4.0,1.0,74.0,43.0,0.0,Centro Universitário Estácio do Ceará,Estácio FIC
